business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
eCommerce Solution Hub - Digital Marketing Agency In Sydney,,https://ecommercesolutionhub.com.au/,https://ecommercesolutionhub.com.au/,,5.0,10,yes,https://www.google.com/maps/place/eCommerce+Solution+Hub+-+Digital+Marketing+Agency+In+Sydney/data=!4m7!3m6!1s0x6b129d58d1e7416f:0x62117d6b0c0ade07!8m2!3d-33.8131685!4d151.0062669!16s%2Fg%2F11nxc8qngb!19sChIJb0Hn0VidEmsRB94KDGt9EWI?authuser=0&hl=en&rclk=1
Sydney Ecommerce,,https://www.sydneyecommerce.com.au/,https://www.sydneyecommerce.com.au/,,5.0,19,yes,https://www.google.com/maps/place/Sydney+Ecommerce/data=!4m7!3m6!1s0x4cf28c5e30786d63:0x4d5dfd4186ef9a1d!8m2!3d-32.205415!4d136.1073692!16s%2Fg%2F11rsf8m2lm!19sChIJY214MF6M8kwRHZrvhkH9XU0?authuser=0&hl=en&rclk=1
Ashop Commerce,,http://www.ashop.com.au/,http://www.ashop.com.au/,,5.0,2,yes,https://www.google.com/maps/place/Ashop+Commerce/data=!4m7!3m6!1s0x6b12ae418c2f3eb1:0x438eed743be544ec!8m2!3d-33.8638734!4d151.2084921!16s%2Fg%2F1ptw2l77c!19sChIJsT4vjEGuEmsR7ETlO3TtjkM?authuser=0&hl=en&rclk=1
Commerce - Sydney,,http://bigcommerce.com/,http://bigcommerce.com/,,5.0,16,yes,https://www.google.com/maps/place/Commerce+-+Sydney/data=!4m7!3m6!1s0x6b12ae2900773751:0x41c9fbcb581a5c35!8m2!3d-33.8685494!4d151.2079539!16s%2Fg%2F11c4bmyvwm!19sChIJUTd3ACmuEmsRNVwaWMv7yUE?authuser=0&hl=en&rclk=1
Tribe Gen Ai,,https://theecommercetribe.com/,https://theecommercetribe.com/,,5.0,19,yes,https://www.google.com/maps/place/Tribe+Gen+Ai/data=!4m7!3m6!1s0x6b12afed2c9a13e1:0x4294577fa8cdd5a9!8m2!3d-33.8642648!4d151.2045525!16s%2Fg%2F11pf1wj0fr!19sChIJ4ROaLO2vEmsRqdXNqH9XlEI?authuser=0&hl=en&rclk=1
Ultra Commerce,,http://ultracommerce.co/,http://ultracommerce.co/,,5.0,19,yes,https://www.google.com/maps/place/Ultra+Commerce/data=!4m7!3m6!1s0x6b12ae301dcf00a7:0x26dc09d6a2098ebe!8m2!3d-33.8620108!4d151.210906!16s%2Fg%2F1w346s09!19sChIJpwDPHTCuEmsRvo4JotYJ3CY?authuser=0&hl=en&rclk=1
EUX Digital,,https://eux.com.au/,https://eux.com.au/,,5.0,1,yes,https://www.google.com/maps/place/EUX+Digital/data=!4m7!3m6!1s0x6b12adc289b18831:0xbbc012d16da0d620!8m2!3d-33.8764011!4d151.2076356!16s%2Fg%2F11jnqjyry8!19sChIJMYixicKtEmsRINagbdESwLs?authuser=0&hl=en&rclk=1
Sales Savvy Online | E-Commerce Marketing,,https://salessavvy.online/,https://salessavvy.online/,,5.0,5,yes,https://www.google.com/maps/place/Sales+Savvy+Online+%7C+E-Commerce+Marketing/data=!4m7!3m6!1s0x6b12af9724a60191:0x8ab8cf726b607db6!8m2!3d-33.8651342!4d151.2021367!16s%2Fg%2F11j315xy6n!19sChIJkQGmJJevEmsRtn1ga3LPuIo?authuser=0&hl=en&rclk=1
Fluent Commerce,,https://www.fluentcommerce.com/,https://www.fluentcommerce.com/,,5.0,6,yes,https://www.google.com/maps/place/Fluent+Commerce/data=!4m7!3m6!1s0x6b12ae21fbddc86f:0x5637dd15c94ea029!8m2!3d-33.8606478!4d151.2079934!16s%2Fg%2F11f29_bzqw!19sChIJb8jd-yGuEmsRKaBOyRXdN1Y?authuser=0&hl=en&rclk=1
Just Create It Digital,,http://www.justcreateit.com.au/,http://www.justcreateit.com.au/,,5.0,57,yes,https://www.google.com/maps/place/Just+Create+It+Digital/data=!4m7!3m6!1s0x6b12b1c791439f1b:0xd1a852ea213909d9!8m2!3d-33.8482439!4d150.9319747!16s%2Fg%2F11q2f5hm9l!19sChIJG59DkcexEmsR2Qk5IepSqNE?authuser=0&hl=en&rclk=1
SlashedShop - Australia's only exclusive merchandise Shop,,https://www.getonlinestore.com.au/,https://www.getonlinestore.com.au/,,5.0,,yes,https://www.google.com/maps/place/SlashedShop+-+Australia%27s+only+exclusive+merchandise+Shop/data=!4m7!3m6!1s0x6b12ad073583a7c1:0x1090a958fbffbdf7!8m2!3d-33.891863!4d151.2714138!16s%2Fg%2F11gk3f0ssr!19sChIJwaeDNQetEmsR973_-1ipkBA?authuser=0&hl=en&rclk=1
Auction Designs,,https://www.getonlinestore.com.au/,https://www.getonlinestore.com.au/,,5.0,5,yes,https://www.google.com/maps/place/Auction+Designs/data=!4m7!3m6!1s0x6b12ae3edfdee9b1:0x30591081d30dbbef!8m2!3d-33.8705665!4d151.2058579!16s%2Fg%2F11cls6hfh9!19sChIJsene3z6uEmsR77sN04EQWTA?authuser=0&hl=en&rclk=1
Cuebites Digital - Sydney Based Design and Development Agency | Website | Apps | Software,,https://cuebites.com.au/,https://cuebites.com.au/,,5.0,11,yes,https://www.google.com/maps/place/Cuebites+Digital+-+Sydney+Based+Design+and+Development+Agency+%7C+Website+%7C+Apps+%7C+Software/data=!4m7!3m6!1s0x6b12bb08ce8d2b19:0xaff13aba4ac621ce!8m2!3d-33.8872774!4d151.2001807!16s%2Fg%2F11fmsy13mr!19sChIJGSuNzgi7EmsRziHGSro68a8?authuser=0&hl=en&rclk=1
Netable,,https://www.netable.com.au/,https://www.netable.com.au/,,5.0,2,yes,https://www.google.com/maps/place/Netable/data=!4m7!3m6!1s0x6b12ae186547d787:0x88b1925e9452336e!8m2!3d-33.8814201!4d151.210985!16s%2Fg%2F11hbjdvs4b!19sChIJh9dHZRiuEmsRbjNSlF6SsYg?authuser=0&hl=en&rclk=1
