business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
RG Group,,http://www.rggroup.ae/,http://www.rggroup.ae/,,4.7,12,yes,https://www.google.com/maps/place/RG+Group/data=!4m7!3m6!1s0x3e5f6bb4bccc0b77:0xa2b43256971fbaec!8m2!3d25.144701!4d55.223546!16s%2Fg%2F11kpznck3x!19sChIJdwvMvLRrXz4R7Lofl1YytKI?authuser=0&hl=en&rclk=1
haus & haus Group,,http://hausandhaus.com/?utm_source=gmb&utm_medium=organic&utm_campaign=haus-gmb,http://hausandhaus.com/?utm_source=gmb&utm_medium=organic&utm_campaign=haus-gmb,,4.7,69,yes,https://www.google.com/maps/place/haus+%26+haus+Group/data=!4m7!3m6!1s0x3e5f6bc67a38bc2f:0xec1ed5e199642b12!8m2!3d25.1262428!4d55.2087658!16s%2Fg%2F11b5vv843j!19sChIJL7w4esZrXz4REitkmeHVHuw?authuser=0&hl=en&rclk=1
Exclusive Links Real Estate Brokers Dubai,,https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubai&utm_term=listing,https://www.exclusive-links.com/?utm_source=localmaps&utm_medium=gbp&utm_campaign=Dubai&utm_term=listing,,4.7,"1,100",yes,https://www.google.com/maps/place/Exclusive+Links+Real+Estate+Brokers+Dubai/data=!4m7!3m6!1s0x3e5f6b6e103c6881:0x4395964d77b297f2!8m2!3d25.0372546!4d55.1833992!16s%2Fg%2F119w6t49h!19sChIJgWg8EG5rXz4R8peyd02WlUM?authuser=0&hl=en&rclk=1
ELITE Property Brokerage,,https://www.elitepropertydxb.com/,https://www.elitepropertydxb.com/,,4.7,14,yes,https://www.google.com/maps/place/ELITE+Property+Brokerage/data=!4m7!3m6!1s0x3e5f6bdc0f315f71:0x28863a4e513c4b72!8m2!3d25.0972499!4d55.1684768!16s%2Fg%2F11n8wk9b5r!19sChIJcV8xD9xrXz4Rcks8UU46hig?authuser=0&hl=en&rclk=1
Springfield Properties,,https://springfieldproperties.ae/,https://springfieldproperties.ae/,,4.7,391,yes,https://www.google.com/maps/place/Springfield+Properties/data=!4m7!3m6!1s0x3e5f6beb752b4681:0x4dc01bc0b6a2e73f!8m2!3d25.185424!4d55.280141!16s%2Fg%2F11b6g9vxtw!19sChIJgUYrdetrXz4RP-eitsAbwE0?authuser=0&hl=en&rclk=1
McCone Properties,,https://www.mcconeproperties.com/?utm_source=googlemaps&utm_medium=organic&utm_campaign=Dubai,https://www.mcconeproperties.com/?utm_source=googlemaps&utm_medium=organic&utm_campaign=Dubai,,4.7,417,yes,https://www.google.com/maps/place/McCone+Properties/data=!4m7!3m6!1s0x3e5f42817b2ccdfd:0x86ec4e428cd29605!8m2!3d25.0964245!4d55.1688941!16s%2Fg%2F1pxwbd8zb!19sChIJ_c0se4FCXz4RBZbSjEJO7IY?authuser=0&hl=en&rclk=1
YP - Your Place Real Estate,,https://yourplace.ae/,https://yourplace.ae/,,4.7,2,yes,https://www.google.com/maps/place/YP+-+Your+Place+Real+Estate/data=!4m7!3m6!1s0x3e5f133ab5e1a50f:0x2937189f92ee2e58!8m2!3d25.1918792!4d55.2844745!16s%2Fg%2F11f6dmn0p5!19sChIJD6XhtToTXz4RWC7ukp8YNyk?authuser=0&hl=en&rclk=1
White & Co Real Estate LLC,,http://www.whiteandcogroup.com/,http://www.whiteandcogroup.com/,,4.7,"1,042",yes,https://www.google.com/maps/place/White+%26+Co+Real+Estate+LLC/data=!4m7!3m6!1s0x3e5f6f7f7b199c2b:0xbfd73650c09125c6!8m2!3d25.0469536!4d55.2303258!16s%2Fg%2F11nyc4mk7y!19sChIJK5wZe39vXz4RxiWRwFA2178?authuser=0&hl=en&rclk=1
Next Level Real Estate - Award Winning Real Estate Agency in Dubai,,https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business,https://www.nextlevelrealestate.ae/?utm_source=google&utm_medium=organic&utm_campaign=googlge_my_business,,4.7,295,yes,https://www.google.com/maps/place/Next+Level+Real+Estate+-+Award+Winning+Real+Estate+Agency+in+Dubai/data=!4m7!3m6!1s0x3e5f69d3345b4265:0x84561af444b75ead!8m2!3d25.1851504!4d55.2755081!16s%2Fg%2F11b7r6npwg!19sChIJZUJbNNNpXz4RrV63RPQaVoQ?authuser=0&hl=en&rclk=1
Harbor Real Estate Broker LLC,,https://www.harbordubai.com/,https://www.harbordubai.com/,,4.7,75,yes,https://www.google.com/maps/place/Harbor+Real+Estate+Broker+LLC/data=!4m7!3m6!1s0x3e5f42f2c1738f6f:0x4f4d76043a46fc96!8m2!3d25.2192823!4d55.2797104!16s%2Fg%2F1tc_cr28!19sChIJb49zwfJCXz4RlvxGOgR2TU8?authuser=0&hl=en&rclk=1
