business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
City Gym Sydney,,http://www.citygym.com.au/,http://www.citygym.com.au/,,4.6,10,yes,https://www.google.com/maps/place/City+Gym+Sydney/data=!4m7!3m6!1s0x6b12ae1407829df3:0xceb07f46f112d1c3!8m2!3d-33.875136!4d151.21602!16s%2Fg%2F1td_5b6b!19sChIJ852CBxSuEmsRw9ES8UZ_sM4?authuser=0&hl=en&rclk=1
SOHO Gym + Recovery,,https://soho.sydney/,https://soho.sydney/,,4.6,80,yes,https://www.google.com/maps/place/SOHO+Gym+%2B+Recovery/data=!4m7!3m6!1s0x6b12af0965fc2afb:0x34feeb6bfc77f868!8m2!3d-33.8653689!4d151.210967!16s%2Fg%2F11ylm982rl!19sChIJ-yr8ZQmvEmsRaPh3_Gvr_jQ?authuser=0&hl=en&rclk=1
Anytime Fitness Martin Place,,https://www.anytimefitness.com/en-au/locations/martin-place-new-south-wales-au-1573,https://www.anytimefitness.com/en-au/locations/martin-place-new-south-wales-au-1573,,4.6,192,yes,https://www.google.com/maps/place/Anytime+Fitness+Martin+Place/data=!4m7!3m6!1s0x6b12af304368a1f7:0xc1578fac7e1015d4!8m2!3d-33.868412!4d151.2107696!16s%2Fg%2F11gh4nrnb3!19sChIJ96FoQzCvEmsR1BUQfqyPV8E?authuser=0&hl=en&rclk=1
Plus Fitness 24/7,,https://www.plusfitness.com.au/gyms/market-st--sydney-cbd/?utm_source=google&utm_medium=organic&utm_campaign=place-business-listing,https://www.plusfitness.com.au/gyms/market-st--sydney-cbd/?utm_source=google&utm_medium=organic&utm_campaign=place-business-listing,,4.6,465,yes,https://www.google.com/maps/place/Plus+Fitness+24%2F7/data=!4m7!3m6!1s0x6b12ae3f00023d89:0xa41fe7dc7eb7da7d!8m2!3d-33.8710212!4d151.2049713!16s%2Fg%2F11b6dwfrc9!19sChIJiT0CAD-uEmsRfdq3ftznH6Q?authuser=0&hl=en&rclk=1
Premier Health & Fitness,,https://premierhealthandfitness.com.au/sydneycbd/,https://premierhealthandfitness.com.au/sydneycbd/,,4.6,360,yes,https://www.google.com/maps/place/Premier+Health+%26+Fitness/data=!4m7!3m6!1s0x6b12ae3e17d22897:0x4375bd352d411fde!8m2!3d-33.8726726!4d151.2093552!16s%2Fg%2F11c6vhc1w6!19sChIJlyjSFz6uEmsR3h9BLTW9dUM?authuser=0&hl=en&rclk=1
"The Jungle Body Sydney - Darlinghurst, CBD, Circular Quay",,http://www.thejunglebodysydney.com/,http://www.thejunglebodysydney.com/,,4.9,10,yes,"https://www.google.com/maps/place/The+Jungle+Body+Sydney+-+Darlinghurst,+CBD,+Circular+Quay/data=!4m7!3m6!1s0x6b12afe7f5b11337:0x4cf65a668a4802e5!8m2!3d-33.8622247!4d151.2084172!16s%2Fg%2F11pr6vj4yn!19sChIJNxOx9eevEmsR5QJIimZa9kw?authuser=0&hl=en&rclk=1"
SOMA Health & Wellness Club,,https://www.somacollection.com.au/,https://www.somacollection.com.au/,,4.9,57,yes,https://www.google.com/maps/place/SOMA+Health+%26+Wellness+Club/data=!4m7!3m6!1s0x6b12af0a21fdd0c5:0x93752b576b91e2bc!8m2!3d-33.8650775!4d151.2121816!16s%2Fg%2F11j0vqt7mn!19sChIJxdD9IQqvEmsRvOKRa1crdZM?authuser=0&hl=en&rclk=1
The Body Studio Health and Fitness,,http://www.thebodystudio.com.au/,http://www.thebodystudio.com.au/,,4.9,11,yes,https://www.google.com/maps/place/The+Body+Studio+Health+and+Fitness/data=!4m7!3m6!1s0x6b12afc0a8af6945:0x61935579823fe685!8m2!3d-33.86372!4d151.1947719!16s%2Fg%2F11g046qzly!19sChIJRWmvqMCvEmsRheY_gnlVk2E?authuser=0&hl=en&rclk=1
