business_name,phone,website,cta_url,address,rating,reviews,has_website,maps_url
Pearl Dental Clinic - Business Bay,,https://www.pearldentalclinics.com/,https://www.pearldentalclinics.com/,,4.9,159,yes,https://www.google.com/maps/place/Pearl+Dental+Clinic+-+Business+Bay/data=!4m7!3m6!1s0x3e5f69d03e72d437:0x3b9a802f6e7564ca!8m2!3d25.1836987!4d55.2610056!16s%2Fg%2F1q5gm1dkk!19sChIJN9RyPtBpXz4RymR1bi-Amjs?authuser=0&hl=en&rclk=1
"Crossroads Dental Clinic - Sheikh Zayed Road, Dubai",,https://crossroadsdentalclinic.com/,https://crossroadsdentalclinic.com/,,4.9,"1,091",yes,"https://www.google.com/maps/place/Crossroads+Dental+Clinic+-+Sheikh+Zayed+Road,+Dubai/data=!4m7!3m6!1s0x3e5f428d283617ed:0x2c5c00afb98943b0!8m2!3d25.2176326!4d55.2786!16s%2Fg%2F11cnd7v52b!19sChIJ7Rc2KI1CXz4RsEOJua8AXCw?authuser=0&hl=en&rclk=1"
Dubai Sky Clinic (by Trio Dental Center),,http://www.dubaiskyclinic.com/,http://www.dubaiskyclinic.com/,,4.9,"2,255",yes,https://www.google.com/maps/place/Dubai+Sky+Clinic+%28by+Trio+Dental+Center%29/data=!4m7!3m6!1s0x3e5f4325bbc5ae33:0x957754cd5d0abec2!8m2!3d25.2516512!4d55.3012446!16s%2Fg%2F119v6q5wd!19sChIJM67FuyVDXz4Rwr4KXc1Ud5U?authuser=0&hl=en&rclk=1
"Go Dental Clinic, Bur Dubai",,https://www.godentalclinic.com/?utm_source=GMB&utm_medium=maps&utm_campaign=organic,https://www.godentalclinic.com/?utm_source=GMB&utm_medium=maps&utm_campaign=organic,,4.9,"1,820",yes,"https://www.google.com/maps/place/Go+Dental+Clinic,+Bur+Dubai/data=!4m7!3m6!1s0x3e5f4326ff7ce407:0x3f7cda8becee9864!8m2!3d25.2554116!4d55.2937406!16s%2Fg%2F1hhgxcl4z!19sChIJB-R8_yZDXz4RZJju7IvafD8?authuser=0&hl=en&rclk=1"
Precision Dental Clinic - Dubai,,http://www.precisiondental.ae/,http://www.precisiondental.ae/,,4.9,102,yes,https://www.google.com/maps/place/Precision+Dental+Clinic+-+Dubai/data=!4m7!3m6!1s0x3e5f4289ad209c1d:0x819e6c4a6f562008!8m2!3d25.2089625!4d55.2724984!16s%2Fg%2F11cn7x768z!19sChIJHZwgrYlCXz4RCCBWb0psnoE?authuser=0&hl=en&rclk=1
Best Dentist Clinic Al Rigga - Cleaning AED50,,https://www.bestdentist.ae/dental-clinic-in-al-rigga,https://www.bestdentist.ae/dental-clinic-in-al-rigga,,4.9,319,yes,https://www.google.com/maps/place/Best+Dentist+Clinic+Al+Rigga+-+Cleaning+AED50/data=!4m7!3m6!1s0x3e5f5ccae0bd6963:0x688791fa0afd4b98!8m2!3d25.2653954!4d55.3201786!16s%2Fg%2F11cnphm9g9!19sChIJY2m94MpcXz4RmEv9CvqRh2g?authuser=0&hl=en&rclk=1
