page_name,library_id,started,platforms,ad_copy,cta_url
This ad has multiple versions,1357702216179948,Started running on 7 May 2026,​,Less time debugging. More time shipping. Use Codex to keep your team on track and on schedule. Try Codex for Free.,
,1357702216179948,,,,
This ad has multiple versions,1431341165152172,Started running on 6 Mar 2026,​,"🦾 Build and deploy intelligent AI agents in 30 days! Join project-based courses, work alongside industry experts, and master automation—no prior experience required. 5,000+ AI courses. #AI30Days #UdemyAI",
,1431341165152172,,,,
Open Drop-down,1363066735177209,Started running on 24 Oct 2025,​,"Sorry, we're having trouble with playing this video.",
